source class,source id,target class,target id,relation,relation attribute,note,remark,S_check,T_Check
Journey,J17630917,Place,피향정,visits,,,,O,O
Journey,J17630917,Place,고부 마항리,visits,유숙,,,O,O
Journey,J17630918,Temple,부안 개암사,visits,유숙,,,O,O
Journey,J17630919,Temple,부안 도솔암,visits,,,,O,O
Journey,J17630919,Temple,우금굴,visits,,,,O,O
Journey,J17630919,Place,청림촌,visits,,,,O,O
Journey,J17630919,Place,사자항,visits,,,,O,O
Journey,J17630919,Place,삼폭포,visits,,,,O,O
Journey,J17630919,Temple,부안 월명암,visits,유숙,,,O,O
Journey,J17630920,Temple,월정대,visits,,,,O,O
Journey,J17630920,Temple,부안 실상사,visits,,,,O,O
Journey,J17630920,Place,직연폭포,visits,,,,O,O
Journey,J17630920,Temple,남암,visits,,,,O,O
Journey,J17630920,Temple,부안 사자암,visits,,,,O,O
Journey,J17630920,Temple,벽송대,visits,,,,O,O
Journey,J17630920,Temple,취연대,visits,유숙,,,O,O
Journey,J17630921,Temple,부안 내소사,visits,,,,O,O
Journey,J17630921,Place,검진,visits,,,,O,O
Journey,J17630921,Place,구수골,visits,유숙,,,O,O
Journey,J17630922,Temple,구월암,visits,,,,O,O
Journey,J17630922,Place,개심령,visits,,,,O,O
Journey,J17630922,Place,내장산,visits,유숙,,,O,O
Journey,J17630923,Place,하서 선생 수장,visits,,,,O,O
Journey,J17630923,Place,자포곡,visits,,,,O,O
Journey,J17630923,Place,백양산 청류동,visits,유숙,,,O,O
Journey,J17630924,Temple,동암 청심대,visits,,,,O,O
Journey,J17630924,Temple,장성 운문암,visits,,,,O,O
Journey,J17630924,Temple,장성 백양사 백련암,visits,유숙,,,O,O
Journey,J17630925,Temple,장성 백양사,visits,,,,O,O
Journey,J17630925,Temple,장성 백양사 쌍계루,visits,,,,O,O
Journey,J17630925,Temple,장성 백양사 향각,visits,,,,O,O
Journey,J17630925,Temple,장성 천진암,visits,유숙,,,O,O
Journey,J17630926,Place,칠립리,visits,,,,O,O
Journey,J17630926,Place,천치,visits,유숙,,,O,O
Journey,J17630927,Place,온계,visits,,,,O,O
Journey,J17630927,Temple,순창 강천사,visits,유숙,,,O,O
Place,만일동,Place,순창 법운암,movesTo,,,,O,O
Temple,순창 법운암,Place,두곡,movesTo,,,,O,O
Place,두곡,Temple,정읍 상두사,movesTo,,,,O,O
Temple,정읍 상두사,Temple,김제 금산사,movesTo,,,,O,O
Temple,김제 금산사,Temple,김제 금산사 송대,movesTo,,,,O,O
Temple,김제 금산사 송대,Temple,감로암,movesTo,,,,O,O
Temple,감로암,Temple,감로암 비전,movesTo,,,,O,O
Temple,감로암 비전,Temple,은격암,movesTo,,,,O,O
Temple,은격암,Place,국사봉,movesTo,,,,O,O
Place,국사봉,Place,완부시,movesTo,,,,O,O
Place,완부시,Place,완부치첩,movesTo,,,,O,O
Place,완부치첩,Place,전주 경기전,movesTo,,,,O,O
Place,전주 경기전,Place,완부 서문,movesTo,,,,O,O
Place,완부 서문,Place,양정포,movesTo,,,,O,O
Place,양정포,Place,옥포역,movesTo,,,,O,O
Place,옥포역,Place,구좌리,movesTo,,,,O,O
Place,구좌리,Temple,완주 화암사,movesTo,,,,O,O
Temple,완주 화암사,Temple,완주 화암사 우화루,movesTo,,,,O,O
Temple,완주 화암사 우화루,Temple,완주 화암사 향각,movesTo,,,,O,O
Temple,완주 화암사 향각,Temple,완주 화암사 의상암,movesTo,,,,O,O
Temple,완주 화암사 의상암,Temple,완주 화암사 윤필암,movesTo,,,,O,O
Temple,완주 화암사 윤필암,Temple,완주 화암사 신실,movesTo,,,,O,O
Temple,완주 화암사 신실,Temple,완주 안심사,movesTo,,,,O,O
Temple,완주 안심사,Temple,완주 안심사 사리각,movesTo,,,,O,O
Temple,완주 안심사 사리각,Temple,완주 안심사 적설루,movesTo,,,,O,O
Temple,완주 안심사 적설루,Temple,완주 안심사 향각,movesTo,,,,O,O
Temple,완주 안심사 향각,Temple,완주 안심사 한산전,movesTo,,,,O,O
Temple,완주 안심사 한산전,Temple,완주 백운암,movesTo,,,,O,O
Temple,완주 백운암,Temple,득모암,movesTo,,,,O,O
Temple,득모암,Place,만경대,movesTo,,,,O,O
Place,만경대,Temple,행도암,movesTo,,,,O,O
Temple,행도암,Place,마정령,movesTo,,,,O,O
Place,마정령,Temple,중봉암,movesTo,,,,O,O
Temple,중봉암,Temple,허통암,movesTo,,,,O,O
Temple,허통암,Place,마천대,movesTo,,,,O,O
Place,마천대,Temple,완주 대둔암,movesTo,,,,O,O
Temple,완주 대둔암,Temple,대은암,movesTo,,,,O,O
Temple,대은암,Place,진산읍,movesTo,,,,O,O
Place,진산읍,Place,천등산,movesTo,,,,O,O
Place,천등산,Temple,완주 신흥사,movesTo,,,,O,O
Temple,완주 신흥사,Temple,운문사,movesTo,,,,O,O
Temple,운문사,Temple,운문사 서굴,movesTo,,,,O,O
Temple,운문사 서굴,Temple,내둔암,movesTo,,,,O,O
Temple,내둔암,Place,위봉성 동문,movesTo,,,,O,O
Place,위봉성 동문,Temple,북암,movesTo,,,,O,O
Temple,북암,Temple,완주 송광사,movesTo,,,,O,O
Temple,완주 송광사,Place,삼천,movesTo,,,,O,O
Place,삼천,Place,시산,movesTo,,,,O,O
Place,시산,Place,피향정,movesTo,,,,O,O
Place,피향정,Place,고부 마항리,movesTo,,,,O,O
Place,고부 마항리,Temple,부안 개암사,movesTo,,,,O,O
Temple,부안 개암사,Temple,부안 도솔암,movesTo,,,,O,O
Temple,부안 도솔암,Temple,우금굴,movesTo,,,,O,O
Temple,우금굴,Place,청림촌,movesTo,,,,O,O
Place,청림촌,Place,사자항,movesTo,,,,O,O
Place,사자항,Place,삼폭포,movesTo,,,,O,O
Place,삼폭포,Temple,부안 월명암,movesTo,,,,O,O
Temple,부안 월명암,Temple,월정대,movesTo,,,,O,O
Temple,월정대,Temple,부안 실상사,movesTo,,,,O,O
Temple,부안 실상사,Place,직연폭포,movesTo,,,,O,O
Place,직연폭포,Temple,남암,movesTo,,,,O,O
Temple,남암,Temple,부안 사자암,movesTo,,,,O,O
Temple,부안 사자암,Temple,벽송대,movesTo,,,,O,O
Temple,벽송대,Temple,취연대,movesTo,,,,O,O
Temple,취연대,Temple,부안 내소사,movesTo,,,,O,O
Temple,부안 내소사,Place,검진,movesTo,,,,O,O
Place,검진,Place,구수골,movesTo,,,,O,O
Place,구수골,Temple,구월암,movesTo,,,,O,O
Temple,구월암,Place,개심령,movesTo,,,,O,O
Place,개심령,Place,내장산,movesTo,,,,O,O
Place,내장산,Place,하서 선생 수장,movesTo,,,,O,O
Place,하서 선생 수장,Place,자포곡,movesTo,,,,O,O
Place,자포곡,Place,백양산 청류동,movesTo,,,,O,O
Place,백양산 청류동,Temple,동암 청심대,movesTo,,,,O,O
Temple,동암 청심대,Temple,장성 운문암,movesTo,,,,O,O
Temple,장성 운문암,Temple,장성 백양사 백련암,movesTo,,,,O,O
Temple,장성 백양사 백련암,Temple,장성 백양사,movesTo,,,,O,O
Temple,장성 백양사,Temple,장성 백양사 쌍계루,movesTo,,,,O,O
Temple,장성 백양사 쌍계루,Temple,장성 백양사 향각,movesTo,,,,O,O
Temple,장성 백양사 향각,Temple,장성 천진암,movesTo,,,,O,O
Temple,장성 천진암,Place,칠립리,movesTo,,,,O,O
Place,칠립리,Place,천치,movesTo,,,,O,O
Place,천치,Place,온계,movesTo,,,,O,O
Place,온계,Temple,순창 강천사,mentions,,,,O,O
